obligation_id,company_id,supplier_id,description,category,amount,issue_date,due_date,priority,status,data_source
OBL00172,COMP001,SUP015,RAW_MATERIAL obligation – Castrol India Ltd,RAW_MATERIAL,20987988.13,2025-09-29,2025-11-13,MEDIUM,PAID,HISTORICAL
OBL00173,COMP001,SUP006,TAX obligation – Apollo Tyres Ltd,TAX,32006309.42,2025-05-02,2025-06-16,HIGH,OVERDUE,HISTORICAL
OBL00174,COMP001,SUP009,OTHER obligation – Sundaram-Clayton Ltd,OTHER,56850063.73,2025-07-30,2025-09-13,CRITICAL,PAID,HISTORICAL
OBL00175,COMP001,SUP005,OTHER obligation – MRF Ltd,OTHER,42798310.79,2025-03-05,2025-04-19,CRITICAL,PAID,HISTORICAL
OBL00176,COMP001,SUP001,UTILITY obligation – Tata Steel Ltd,UTILITY,58645838.54,2025-06-22,2025-07-22,CRITICAL,OVERDUE,HISTORICAL
OBL00177,COMP001,SUP008,EMI obligation – Bharat Forge Ltd,EMI,42111436.16,2025-03-04,2025-04-18,CRITICAL,PAID,HISTORICAL
OBL00178,COMP001,SUP008,RAW_MATERIAL obligation – Bharat Forge Ltd,RAW_MATERIAL,32922044.33,2025-08-28,2025-10-12,HIGH,OVERDUE,HISTORICAL
OBL00179,COMP001,SUP003,REGULATORY obligation – Bosch Ltd,REGULATORY,29072974.28,2025-02-25,2025-03-12,CRITICAL,PAID,HISTORICAL
OBL00180,COMP001,SUP008,EMI obligation – Bharat Forge Ltd,EMI,35222851.45,2025-01-10,2025-02-24,HIGH,PAID,HISTORICAL
OBL00181,COMP001,SUP013,OTHER obligation – 3M India Ltd,OTHER,10238787.77,2025-03-10,2025-05-09,MEDIUM,PAID,HISTORICAL
OBL00182,COMP001,SUP008,REGULATORY obligation – Bharat Forge Ltd,REGULATORY,5777448.08,2025-11-16,2025-12-31,HIGH,PENDING,HISTORICAL
OBL00183,COMP001,SUP003,TAX obligation – Bosch Ltd,TAX,26677932.37,2025-02-22,2025-03-09,CRITICAL,OVERDUE,HISTORICAL
OBL00184,COMP001,SUP010,TAX obligation – Valeo India Pvt Ltd,TAX,53835712.28,2025-12-09,2026-02-07,HIGH,PENDING,HISTORICAL
OBL00185,COMP001,SUP005,REGULATORY obligation – MRF Ltd,REGULATORY,8571811.23,2025-11-16,2025-12-31,HIGH,PAID,HISTORICAL
OBL00186,COMP001,SUP001,RAW_MATERIAL obligation – Tata Steel Ltd,RAW_MATERIAL,41638219.31,2025-05-15,2025-06-14,CRITICAL,OVERDUE,HISTORICAL
OBL00187,COMP001,SUP005,SALARY obligation – MRF Ltd,SALARY,40502413.38,2025-10-24,2025-12-08,CRITICAL,OVERDUE,HISTORICAL
OBL00188,COMP001,SUP002,REGULATORY obligation – JSW Steel Ltd,REGULATORY,16740000.03,2025-12-16,2026-01-15,HIGH,PENDING,HISTORICAL
OBL00189,COMP001,SUP011,EMI obligation – ZF Commercial Vehicle Control,EMI,52528372.28,2025-03-10,2025-05-09,CRITICAL,PAID,HISTORICAL
OBL00190,COMP001,SUP015,EMI obligation – Castrol India Ltd,EMI,27917765.88,2025-11-13,2025-12-28,MEDIUM,PENDING,HISTORICAL
OBL00191,COMP001,SUP015,SALARY obligation – Castrol India Ltd,SALARY,21809053.34,2025-04-23,2025-06-07,MEDIUM,PAID,HISTORICAL
OBL00192,COMP001,SUP014,RENT obligation – Asian Paints Industrial,RENT,34022753.46,2025-11-18,2026-01-02,HIGH,PENDING,HISTORICAL
OBL00193,COMP001,SUP012,TAX obligation – Saint-Gobain India,TAX,11239397.93,2025-07-28,2025-09-26,MEDIUM,PAID,HISTORICAL
OBL00194,COMP001,SUP014,SALARY obligation – Asian Paints Industrial,SALARY,37694410.46,2025-05-30,2025-07-14,HIGH,PAID,HISTORICAL
OBL00195,COMP001,SUP008,RENT obligation – Bharat Forge Ltd,RENT,59963782.79,2025-02-02,2025-03-19,CRITICAL,OVERDUE,HISTORICAL
OBL00196,COMP001,SUP011,UTILITY obligation – ZF Commercial Vehicle Control,UTILITY,42149907.83,2025-04-29,2025-06-28,CRITICAL,PAID,HISTORICAL
OBL00197,COMP001,SUP013,SALARY obligation – 3M India Ltd,SALARY,22624749.24,2025-12-05,2026-02-03,MEDIUM,PENDING,HISTORICAL
OBL00198,COMP001,SUP003,RAW_MATERIAL obligation – Bosch Ltd,RAW_MATERIAL,9314430.27,2025-05-15,2025-05-30,HIGH,OVERDUE,HISTORICAL
OBL00199,COMP001,SUP015,REGULATORY obligation – Castrol India Ltd,REGULATORY,43606945.33,2025-11-04,2025-12-19,HIGH,PAID,HISTORICAL
OBL00200,COMP001,SUP008,RENT obligation – Bharat Forge Ltd,RENT,54472883.35,2025-04-12,2025-05-27,CRITICAL,PAID,HISTORICAL
OBL00201,COMP001,SUP006,RAW_MATERIAL obligation – Apollo Tyres Ltd,RAW_MATERIAL,17149435.05,2025-07-13,2025-08-27,HIGH,PAID,HISTORICAL
OBL00202,COMP001,SUP001,TAX obligation – Tata Steel Ltd,TAX,25459010.28,2025-01-14,2025-02-13,CRITICAL,PAID,HISTORICAL
OBL00203,COMP001,SUP007,UTILITY obligation – Motherson Sumi Systems Ltd,UTILITY,5820593.76,2025-03-06,2025-04-05,HIGH,OVERDUE,HISTORICAL
OBL00204,COMP001,SUP006,OTHER obligation – Apollo Tyres Ltd,OTHER,21774369.38,2025-10-04,2025-11-18,HIGH,PAID,HISTORICAL
OBL00205,COMP001,SUP002,SALARY obligation – JSW Steel Ltd,SALARY,30394038.01,2025-07-08,2025-08-07,CRITICAL,PAID,HISTORICAL
OBL00206,COMP001,SUP008,SALARY obligation – Bharat Forge Ltd,SALARY,52517630.53,2025-09-01,2025-10-16,CRITICAL,PAID,HISTORICAL
OBL00207,COMP001,SUP015,EMI obligation – Castrol India Ltd,EMI,42483577.38,2025-08-02,2025-09-16,HIGH,OVERDUE,HISTORICAL
OBL00208,COMP001,SUP002,TAX obligation – JSW Steel Ltd,TAX,59619048.51,2025-06-12,2025-07-12,CRITICAL,PAID,HISTORICAL
OBL00209,COMP001,SUP001,EMI obligation – Tata Steel Ltd,EMI,37505685.46,2025-02-22,2025-03-24,CRITICAL,PAID,HISTORICAL
OBL00210,COMP001,SUP013,RAW_MATERIAL obligation – 3M India Ltd,RAW_MATERIAL,50486009.13,2025-04-14,2025-06-13,HIGH,OVERDUE,HISTORICAL
OBL00211,COMP001,SUP003,SALARY obligation – Bosch Ltd,SALARY,36740928.19,2025-08-01,2025-08-16,CRITICAL,PAID,HISTORICAL
OBL00212,COMP001,SUP005,SALARY obligation – MRF Ltd,SALARY,7104450.19,2025-12-16,2026-01-30,MEDIUM,PENDING,HISTORICAL
OBL00213,COMP001,SUP012,RENT obligation – Saint-Gobain India,RENT,43101329.7,2025-06-15,2025-08-14,HIGH,OVERDUE,HISTORICAL
OBL00214,COMP001,SUP008,REGULATORY obligation – Bharat Forge Ltd,REGULATORY,50060096.45,2025-02-21,2025-04-07,CRITICAL,PAID,HISTORICAL
OBL00215,COMP001,SUP009,SALARY obligation – Sundaram-Clayton Ltd,SALARY,44305841.99,2025-12-12,2026-01-26,HIGH,PENDING,HISTORICAL
OBL00216,COMP001,SUP005,OTHER obligation – MRF Ltd,OTHER,34744712.89,2025-07-28,2025-09-11,CRITICAL,PAID,HISTORICAL
OBL00217,COMP001,SUP003,OTHER obligation – Bosch Ltd,OTHER,48019915.06,2025-08-24,2025-09-08,CRITICAL,PAID,HISTORICAL
OBL00218,COMP001,SUP011,SALARY obligation – ZF Commercial Vehicle Control,SALARY,52334750.91,2025-05-18,2025-07-17,CRITICAL,OVERDUE,HISTORICAL
OBL00219,COMP001,SUP010,SALARY obligation – Valeo India Pvt Ltd,SALARY,43172967.25,2025-10-15,2025-12-14,HIGH,PAID,HISTORICAL
OBL00220,COMP001,SUP015,REGULATORY obligation – Castrol India Ltd,REGULATORY,42980793.5,2025-02-11,2025-03-28,HIGH,PAID,HISTORICAL
OBL00221,COMP001,SUP007,OTHER obligation – Motherson Sumi Systems Ltd,OTHER,46876938.92,2025-08-26,2025-09-25,CRITICAL,OVERDUE,HISTORICAL
OBL00222,COMP001,SUP005,OTHER obligation – MRF Ltd,OTHER,44311258.43,2025-11-29,2026-01-13,HIGH,PENDING,HISTORICAL
OBL00223,COMP001,SUP001,TAX obligation – Tata Steel Ltd,TAX,10483279.48,2025-11-08,2025-12-08,HIGH,OVERDUE,HISTORICAL
OBL00224,COMP001,SUP011,RENT obligation – ZF Commercial Vehicle Control,RENT,21428227.91,2025-07-13,2025-09-11,HIGH,OVERDUE,HISTORICAL
OBL00225,COMP001,SUP006,RENT obligation – Apollo Tyres Ltd,RENT,58269382.62,2025-04-28,2025-06-12,CRITICAL,OVERDUE,HISTORICAL
OBL00226,COMP001,SUP001,OTHER obligation – Tata Steel Ltd,OTHER,50095083.89,2025-09-13,2025-10-13,CRITICAL,PAID,HISTORICAL
OBL00227,COMP001,SUP002,EMI obligation – JSW Steel Ltd,EMI,36158839.15,2025-10-07,2025-11-06,CRITICAL,OVERDUE,HISTORICAL
OBL00228,COMP001,SUP013,UTILITY obligation – 3M India Ltd,UTILITY,12368420.76,2025-01-28,2025-03-29,MEDIUM,OVERDUE,HISTORICAL
OBL00229,COMP001,SUP009,UTILITY obligation – Sundaram-Clayton Ltd,UTILITY,9019265.19,2025-11-05,2025-12-20,HIGH,OVERDUE,HISTORICAL
OBL00230,COMP001,SUP003,UTILITY obligation – Bosch Ltd,UTILITY,57638313.08,2025-07-03,2025-07-18,CRITICAL,PAID,HISTORICAL
OBL00231,COMP001,SUP009,UTILITY obligation – Sundaram-Clayton Ltd,UTILITY,48598334.95,2025-09-12,2025-10-27,CRITICAL,PAID,HISTORICAL
OBL00232,COMP001,SUP011,EMI obligation – ZF Commercial Vehicle Control,EMI,5892535.68,2025-11-07,2026-01-06,MEDIUM,PENDING,HISTORICAL
OBL00233,COMP001,SUP004,SALARY obligation – Denso India Pvt Ltd,SALARY,43119201.97,2025-03-24,2025-04-23,CRITICAL,OVERDUE,HISTORICAL
OBL00234,COMP001,SUP013,OTHER obligation – 3M India Ltd,OTHER,36053719.36,2025-07-30,2025-09-28,HIGH,PAID,HISTORICAL
OBL00235,COMP001,SUP002,EMI obligation – JSW Steel Ltd,EMI,18713913.3,2025-02-11,2025-03-13,HIGH,OVERDUE,HISTORICAL
OBL00236,COMP001,SUP008,EMI obligation – Bharat Forge Ltd,EMI,19630343.22,2025-02-18,2025-04-04,HIGH,PAID,HISTORICAL
OBL00237,COMP001,SUP013,SALARY obligation – 3M India Ltd,SALARY,18734751.99,2025-09-25,2025-11-24,MEDIUM,OVERDUE,HISTORICAL
OBL00238,COMP001,SUP013,REGULATORY obligation – 3M India Ltd,REGULATORY,44411141.13,2025-01-13,2025-03-14,HIGH,PAID,HISTORICAL
OBL00239,COMP001,SUP015,SALARY obligation – Castrol India Ltd,SALARY,42976828.57,2025-09-17,2025-11-01,HIGH,PAID,HISTORICAL
OBL00240,COMP001,SUP003,OTHER obligation – Bosch Ltd,OTHER,56440998.78,2025-07-15,2025-07-30,CRITICAL,PAID,HISTORICAL
OBL00241,COMP001,SUP012,UTILITY obligation – Saint-Gobain India,UTILITY,19217922.22,2025-11-22,2026-01-21,MEDIUM,PENDING,HISTORICAL
OBL00242,COMP001,SUP002,SALARY obligation – JSW Steel Ltd,SALARY,9595618.57,2025-07-05,2025-08-04,HIGH,PAID,HISTORICAL
OBL00243,COMP001,SUP015,RENT obligation – Castrol India Ltd,RENT,49246748.23,2025-05-02,2025-06-16,HIGH,PAID,HISTORICAL
OBL00244,COMP001,SUP003,REGULATORY obligation – Bosch Ltd,REGULATORY,8580198.52,2025-11-16,2025-12-01,HIGH,PAID,HISTORICAL
OBL00245,COMP001,SUP005,UTILITY obligation – MRF Ltd,UTILITY,18023005.77,2025-10-06,2025-11-20,HIGH,OVERDUE,HISTORICAL
OBL00246,COMP001,SUP001,UTILITY obligation – Tata Steel Ltd,UTILITY,22470197.32,2025-08-26,2025-09-25,CRITICAL,PAID,HISTORICAL
OBL00247,COMP001,SUP003,RENT obligation – Bosch Ltd,RENT,23645172.87,2025-02-06,2025-02-21,CRITICAL,OVERDUE,HISTORICAL
OBL00248,COMP001,SUP007,TAX obligation – Motherson Sumi Systems Ltd,TAX,47120678.69,2025-10-04,2025-11-03,CRITICAL,PAID,HISTORICAL
OBL00249,COMP001,SUP007,EMI obligation – Motherson Sumi Systems Ltd,EMI,52272673.33,2025-11-11,2025-12-11,CRITICAL,OVERDUE,HISTORICAL
OBL00250,COMP001,SUP014,REGULATORY obligation – Asian Paints Industrial,REGULATORY,7869478.29,2025-05-03,2025-06-17,MEDIUM,PAID,HISTORICAL
OBL00251,COMP001,SUP006,EMI obligation – Apollo Tyres Ltd,EMI,35997078.57,2025-11-23,2026-01-07,HIGH,PENDING,HISTORICAL
OBL00252,COMP001,SUP003,UTILITY obligation – Bosch Ltd,UTILITY,42443380.15,2025-11-08,2025-11-23,CRITICAL,OVERDUE,HISTORICAL
OBL00253,COMP001,SUP012,RENT obligation – Saint-Gobain India,RENT,14493590.48,2025-05-22,2025-07-21,MEDIUM,PAID,HISTORICAL
OBL00254,COMP001,SUP001,EMI obligation – Tata Steel Ltd,EMI,42653492.74,2025-06-19,2025-07-19,CRITICAL,PAID,HISTORICAL
OBL00255,COMP001,SUP004,UTILITY obligation – Denso India Pvt Ltd,UTILITY,45701903.46,2025-02-08,2025-03-10,CRITICAL,PAID,HISTORICAL
