obligation_id,company_id,supplier_id,description,category,amount,issue_date,due_date,priority,status
OBL00191,COMP001,SUP015,SALARY obligation – Castrol India Ltd,SALARY,15209385.5,2025-04-23,2025-06-07,MEDIUM,PAID
OBL00192,COMP001,SUP014,RENT obligation – Asian Paints Industrial,RENT,23137576.81,2025-11-18,2026-01-02,HIGH,PENDING
OBL00193,COMP001,SUP012,TAX obligation – Saint-Gobain India,TAX,8348381.11,2025-07-28,2025-09-26,MEDIUM,PAID
OBL00194,COMP001,SUP014,SALARY obligation – Asian Paints Industrial,SALARY,25520933.11,2025-05-30,2025-07-14,HIGH,PAID
OBL00195,COMP001,SUP008,RENT obligation – Bharat Forge Ltd,RENT,39976490.59,2025-02-02,2025-03-19,CRITICAL,OVERDUE
OBL00196,COMP001,SUP011,UTILITY obligation – ZF Commercial Vehicle Control,UTILITY,28413098.06,2025-04-29,2025-06-28,CRITICAL,PAID
OBL00197,COMP001,SUP013,SALARY obligation – 3M India Ltd,SALARY,15738872.31,2025-12-05,2026-02-03,MEDIUM,PENDING
OBL00198,COMP001,SUP003,RAW_MATERIAL obligation – Bosch Ltd,RAW_MATERIAL,7098840.7,2025-05-15,2025-05-30,HIGH,OVERDUE
OBL00199,COMP001,SUP015,REGULATORY obligation – Castrol India Ltd,REGULATORY,29358894.34,2025-11-04,2025-12-19,HIGH,PAID
OBL00200,COMP001,SUP008,RENT obligation – Bharat Forge Ltd,RENT,36412222.53,2025-04-12,2025-05-27,CRITICAL,PAID
OBL00201,COMP001,SUP006,RAW_MATERIAL obligation – Apollo Tyres Ltd,RAW_MATERIAL,12184721.0,2025-07-13,2025-08-27,HIGH,PAID
OBL00202,COMP001,SUP001,TAX obligation – Tata Steel Ltd,TAX,17578655.79,2025-01-14,2025-02-13,CRITICAL,PAID
OBL00203,COMP001,SUP007,UTILITY obligation – Motherson Sumi Systems Ltd,UTILITY,4830911.74,2025-03-06,2025-04-05,HIGH,OVERDUE
OBL00204,COMP001,SUP006,OTHER obligation – Apollo Tyres Ltd,OTHER,15186871.35,2025-10-04,2025-11-18,HIGH,PAID
OBL00205,COMP001,SUP002,SALARY obligation – JSW Steel Ltd,SALARY,20782094.85,2025-07-08,2025-08-07,CRITICAL,PAID
OBL00206,COMP001,SUP008,SALARY obligation – Bharat Forge Ltd,SALARY,35143023.32,2025-09-01,2025-10-16,CRITICAL,PAID
OBL00207,COMP001,SUP015,EMI obligation – Castrol India Ltd,EMI,28629690.58,2025-08-02,2025-09-16,HIGH,OVERDUE
OBL00208,COMP001,SUP002,TAX obligation – JSW Steel Ltd,TAX,39752715.7,2025-06-12,2025-07-12,CRITICAL,PAID
OBL00209,COMP001,SUP001,EMI obligation – Tata Steel Ltd,EMI,25398427.4,2025-02-22,2025-03-24,CRITICAL,PAID
OBL00210,COMP001,SUP013,RAW_MATERIAL obligation – 3M India Ltd,RAW_MATERIAL,33824251.54,2025-04-14,2025-06-13,HIGH,OVERDUE
OBL00211,COMP001,SUP003,SALARY obligation – Bosch Ltd,SALARY,24902006.02,2025-08-01,2025-08-16,CRITICAL,PAID
OBL00212,COMP001,SUP005,SALARY obligation – MRF Ltd,SALARY,5664292.23,2025-12-16,2026-01-30,MEDIUM,PENDING
OBL00213,COMP001,SUP012,RENT obligation – Saint-Gobain India,RENT,29030687.7,2025-06-15,2025-08-14,HIGH,OVERDUE
OBL00214,COMP001,SUP008,REGULATORY obligation – Bharat Forge Ltd,REGULATORY,33547781.91,2025-02-21,2025-04-07,CRITICAL,PAID
OBL00215,COMP001,SUP009,SALARY obligation – Sundaram-Clayton Ltd,SALARY,29812564.1,2025-12-12,2026-01-26,HIGH,PENDING
OBL00216,COMP001,SUP005,OTHER obligation – MRF Ltd,OTHER,23606217.14,2025-07-28,2025-09-11,CRITICAL,PAID
OBL00217,COMP001,SUP003,OTHER obligation – Bosch Ltd,OTHER,32223453.63,2025-08-24,2025-09-08,CRITICAL,PAID
OBL00218,COMP001,SUP011,SALARY obligation – ZF Commercial Vehicle Control,SALARY,35024311.99,2025-05-18,2025-07-17,CRITICAL,OVERDUE
OBL00219,COMP001,SUP010,SALARY obligation – Valeo India Pvt Ltd,SALARY,29077189.27,2025-10-15,2025-12-14,HIGH,PAID
OBL00220,COMP001,SUP015,REGULATORY obligation – Castrol India Ltd,REGULATORY,28952444.91,2025-02-11,2025-03-28,HIGH,PAID
OBL00221,COMP001,SUP007,OTHER obligation – Motherson Sumi Systems Ltd,OTHER,31481521.76,2025-08-26,2025-09-25,CRITICAL,OVERDUE
OBL00222,COMP001,SUP005,OTHER obligation – MRF Ltd,OTHER,29816080.03,2025-11-29,2026-01-13,HIGH,PENDING
OBL00223,COMP001,SUP001,TAX obligation – Tata Steel Ltd,TAX,7857567.38,2025-11-08,2025-12-08,HIGH,OVERDUE
OBL00224,COMP001,SUP011,RENT obligation – ZF Commercial Vehicle Control,RENT,14962183.03,2025-07-13,2025-09-11,HIGH,OVERDUE
OBL00225,COMP001,SUP006,RENT obligation – Apollo Tyres Ltd,RENT,38876616.79,2025-04-28,2025-06-12,CRITICAL,OVERDUE
OBL00226,COMP001,SUP001,OTHER obligation – Tata Steel Ltd,OTHER,33570493.05,2025-09-13,2025-10-13,CRITICAL,PAID
OBL00227,COMP001,SUP002,EMI obligation – JSW Steel Ltd,EMI,24524158.75,2025-10-07,2025-11-06,CRITICAL,OVERDUE
OBL00228,COMP001,SUP013,UTILITY obligation – 3M India Ltd,UTILITY,9081255.58,2025-01-28,2025-03-29,MEDIUM,OVERDUE
OBL00229,COMP001,SUP009,UTILITY obligation – Sundaram-Clayton Ltd,UTILITY,6907242.32,2025-11-05,2025-12-20,HIGH,OVERDUE
OBL00230,COMP001,SUP003,UTILITY obligation – Bosch Ltd,UTILITY,38466975.16,2025-07-03,2025-07-18,CRITICAL,PAID
OBL00231,COMP001,SUP009,UTILITY obligation – Sundaram-Clayton Ltd,UTILITY,32598919.18,2025-09-12,2025-10-27,CRITICAL,PAID
OBL00232,COMP001,SUP011,EMI obligation – ZF Commercial Vehicle Control,EMI,4877610.88,2025-11-07,2026-01-06,HIGH,PENDING
OBL00233,COMP001,SUP004,SALARY obligation – Denso India Pvt Ltd,SALARY,29042289.0,2025-03-24,2025-04-23,CRITICAL,OVERDUE
OBL00234,COMP001,SUP013,OTHER obligation – 3M India Ltd,OTHER,24455923.09,2025-07-30,2025-09-28,HIGH,PAID
OBL00235,COMP001,SUP002,EMI obligation – JSW Steel Ltd,EMI,13200259.51,2025-02-11,2025-03-13,CRITICAL,OVERDUE
OBL00236,COMP001,SUP008,EMI obligation – Bharat Forge Ltd,EMI,13795135.07,2025-02-18,2025-04-04,HIGH,PAID
OBL00237,COMP001,SUP013,SALARY obligation – 3M India Ltd,SALARY,13213786.38,2025-09-25,2025-11-24,MEDIUM,OVERDUE
OBL00238,COMP001,SUP013,REGULATORY obligation – 3M India Ltd,REGULATORY,29880916.17,2025-01-13,2025-03-14,HIGH,PAID
OBL00239,COMP001,SUP015,SALARY obligation – Castrol India Ltd,SALARY,28949871.18,2025-09-17,2025-11-01,HIGH,PAID
OBL00240,COMP001,SUP003,OTHER obligation – Bosch Ltd,OTHER,37689771.14,2025-07-15,2025-07-30,CRITICAL,PAID
OBL00241,COMP001,SUP012,UTILITY obligation – Saint-Gobain India,UTILITY,13527423.2,2025-11-22,2026-01-21,MEDIUM,PENDING
OBL00242,COMP001,SUP002,SALARY obligation – JSW Steel Ltd,SALARY,7281366.44,2025-07-05,2025-08-04,HIGH,PAID
OBL00243,COMP001,SUP015,RENT obligation – Castrol India Ltd,RENT,33019819.02,2025-05-02,2025-06-16,HIGH,PAID
OBL00244,COMP001,SUP003,REGULATORY obligation – Bosch Ltd,REGULATORY,6622234.13,2025-11-16,2025-12-01,HIGH,PAID
OBL00245,COMP001,SUP005,UTILITY obligation – MRF Ltd,UTILITY,12751775.68,2025-10-06,2025-11-20,HIGH,OVERDUE
OBL00246,COMP001,SUP001,UTILITY obligation – Tata Steel Ltd,UTILITY,15638549.14,2025-08-26,2025-09-25,CRITICAL,PAID
OBL00247,COMP001,SUP003,RENT obligation – Bosch Ltd,RENT,16401252.56,2025-02-06,2025-02-21,CRITICAL,OVERDUE
OBL00248,COMP001,SUP007,TAX obligation – Motherson Sumi Systems Ltd,TAX,31639738.8,2025-10-04,2025-11-03,CRITICAL,PAID
OBL00249,COMP001,SUP007,EMI obligation – Motherson Sumi Systems Ltd,EMI,34984016.02,2025-11-11,2025-12-11,CRITICAL,OVERDUE
OBL00250,COMP001,SUP014,REGULATORY obligation – Asian Paints Industrial,REGULATORY,6160889.41,2025-05-03,2025-06-17,MEDIUM,PAID
OBL00251,COMP001,SUP006,EMI obligation – Apollo Tyres Ltd,EMI,24419156.26,2025-11-23,2026-01-07,HIGH,PENDING
OBL00252,COMP001,SUP003,UTILITY obligation – Bosch Ltd,UTILITY,28603597.64,2025-11-08,2025-11-23,CRITICAL,OVERDUE
OBL00253,COMP001,SUP012,RENT obligation – Saint-Gobain India,RENT,10460751.72,2025-05-22,2025-07-21,MEDIUM,PAID
OBL00254,COMP001,SUP001,EMI obligation – Tata Steel Ltd,EMI,28739986.52,2025-06-19,2025-07-19,CRITICAL,PAID
OBL00255,COMP001,SUP004,UTILITY obligation – Denso India Pvt Ltd,UTILITY,30718779.44,2025-02-08,2025-03-10,CRITICAL,PAID
